구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,강북구,발생량,발생량,224.6,75.2,70.3,1.8,23.8,0.9,2,13.9,27.9,4.9,1.5,0.8,0.3,2.3,0,74,5.2,17.7,6.7,10.8,13.4,1.3,0.2,0.2,0,0,2,3.3,0.5,0,0,0.1,2,10.6,75.4
서울,강북구,처리방법,매립,6.1,6.1,5.7,0.1,1.9,0.1,0.2,1.1,2.3,0.4,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강북구,처리방법,소각,69.1,69.1,64.6,1.7,21.9,0.8,1.8,12.8,25.6,4.5,1.4,0.7,0.3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강북구,처리방법,재활용,149.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5.2,17.7,6.7,10.8,13.4,1.3,0.2,0.2,0,0,2,3.3,0.5,0,0,0.1,2,10.6,75.4
서울,도봉구,발생량,발생량,221.8,67,65.6,2,26.5,1,0.5,14.6,21,1.4,0.3,0.2,0.1,0.8,0,78.9,33.8,8.5,3.1,12.6,3.3,1.7,0.7,0,0,0,0,0.3,0,0,0,0,0.2,14.7,75.9
서울,도봉구,처리방법,매립,7.4,7.4,6.7,0.2,2,0.1,0.2,1.6,2.6,0.7,0.1,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,도봉구,처리방법,소각,59.6,59.6,58.9,1.8,24.5,0.9,0.3,13,18.4,0.7,0.2,0.1,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,도봉구,처리방법,재활용,154.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9,33.8,8.5,3.1,12.6,3.3,1.7,0.7,0,0,0,0,0.3,0,0,0,0,0.2,14.7,75.9
서울,노원구,발생량,발생량,387,107,99.3,5.1,30.5,2,1.2,22.3,38.2,7.7,1.8,2.8,0.4,2.7,0,150.2,70.8,1.7,10,2,3.3,0.3,0.6,0.1,0,0,0.2,27.3,5.4,0,0,0.5,11.2,16.8,129.8
서울,노원구,처리방법,매립,4.7,4.7,4.4,0.2,1.3,0.1,0.1,1,1.7,0.3,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,노원구,처리방법,소각,102.3,102.3,94.9,4.9,29.2,1.9,1.1,21.3,36.5,7.4,1.7,2.7,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,노원구,처리방법,재활용,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.2,70.8,1.7,10,2,3.3,0.3,0.6,0.1,0,0,0.2,27.3,5.4,0,0,0.5,11.2,16.8,129.8
서울,은평구,발생량,발생량,322.3,137.3,137.3,0,21.6,15.2,6.9,10.5,83.1,0,0,0,0,0,0,104.6,10.5,3,2,28.7,13.3,0.9,0,0,0,0,0,2.9,0,0,25.1,0,0.1,18.1,80.4
서울,은평구,처리방법,매립,87.6,87.6,87.6,0,16.6,7.9,4.4,8.4,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,은평구,처리방법,소각,49.7,49.7,49.7,0,5,7.3,2.5,2.1,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,은평구,처리방법,재활용,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6,10.5,3,2,28.7,13.3,0.9,0,0,0,0,0,2.9,0,0,25.1,0,0.1,18.1,80.4
서울,서대문구,발생량,발생량,280.3,105,90.5,4.7,23.6,6.7,7.1,8.5,39.9,12.1,2.5,2.3,0,7.3,2.4,102.2,45.4,8.4,2.7,29.7,4.5,0.7,0,0,0,0,0,6.7,0,0,0,0,0,4.1,73.1
서울,서대문구,처리방법,매립,27,27,14.4,1,4.1,1.5,1,1,5.8,12.1,2.5,2.3,0,7.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서대문구,처리방법,소각,78,78,76.1,3.7,19.5,5.2,6.1,7.5,34.1,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서대문구,처리방법,재활용,175.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.2,45.4,8.4,2.7,29.7,4.5,0.7,0,0,0,0,0,6.7,0,0,0,0,0,4.1,73.1
서울,마포구,발생량,발생량,435.9,143.8,137.4,9.6,5.8,0,4.4,4.8,112.8,6.4,4,2.4,0,0,0,202.4,76.1,17.5,9.8,16.1,6,12.6,0.3,0,0,0,0,19.2,12.3,0,0,0.4,0,32.1,89.7
서울,마포구,처리방법,매립,42,42,40.1,2.9,1.5,0,1.3,1.4,33,1.9,1.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,처리방법,소각,101.8,101.8,97.3,6.7,4.3,0,3.1,3.4,79.8,4.5,2.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,처리방법,재활용,292.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.4,76.1,17.5,9.8,16.1,6,12.6,0.3,0,0,0,0,19.2,12.3,0,0,0.4,0,32.1,89.7
서울,양천구,발생량,발생량,269.4,97.1,97.1,0,0,0,0,0,97.1,0,0,0,0,0,0,77.1,36.2,1,0.1,2.5,1.7,0.6,0.3,0.1,0,0,0.1,1,1,0,0,0,0,32.5,95.2
서울,양천구,처리방법,매립,13.5,13.5,13.5,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,양천구,처리방법,소각,83.6,83.6,83.6,0,0,0,0,0,83.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,양천구,처리방법,재활용,172.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,36.2,1,0.1,2.5,1.7,0.6,0.3,0.1,0,0,0.1,1,1,0,0,0,0,32.5,95.2
서울,강서구,발생량,발생량,411.6,137.9,128.9,3.3,43.8,1.5,1.2,25.6,53.5,9,2.8,1.3,0.5,4.4,0,128.6,65,7.5,3.4,0.3,8.4,1.7,0,0,0,0,0,0.7,3.5,0,0,2.1,0,36,145.1
서울,강서구,처리방법,매립,25.3,25.3,23.6,0.6,8,0.3,0.2,4.7,9.8,1.7,0.5,0.3,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,처리방법,소각,112.6,112.6,105.3,2.7,35.8,1.2,1,20.9,43.7,7.3,2.3,1,0.4,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,처리방법,재활용,273.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.6,65,7.5,3.4,0.3,8.4,1.7,0,0,0,0,0,0.7,3.5,0,0,2.1,0,36,145.1
서울,구로구,발생량,발생량,299.1,141.5,141.5,8.1,31.1,10,5.9,9.2,77.2,0,0,0,0,0,0,68.6,3.5,3.6,1.9,46.5,4.4,0.6,0,0.1,0,0,1,2.1,0.9,0,0,0.1,0,3.9,89
