구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,강북구,처리방법,소각,64.6,64.6,63,3,33.9,2.8,0.3,16,7,1.6,0.5,0.8,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강북구,처리방법,재활용,147.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,4.2,20.3,6.2,10.5,13,0,0.6,0.3,0,0,1.9,3.2,0.2,0,0,0.4,0.3,86.7
서울,도봉구,발생량,발생량,324.3,67.9,55.4,0,0,0,0,0,55.4,12.5,0,0,0.3,12.2,0,162.1,67.8,12.6,10.8,13.9,25.6,0,0.5,0,0,0,0,20.7,0,0,9.4,0,0.8,94.3
서울,도봉구,처리방법,매립,12.5,12.5,0,0,0,0,0,0,0,12.5,0,0,0.3,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,도봉구,처리방법,소각,55.4,55.4,55.4,0,0,0,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,도봉구,처리방법,재활용,256.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.1,67.8,12.6,10.8,13.9,25.6,0,0.5,0,0,0,0,20.7,0,0,9.4,0,0.8,94.3
서울,노원구,발생량,발생량,345,116.2,116.2,0,28,9,1.1,1.1,77,0,0,0,0,0,0,64.5,26.8,10.5,3.3,1.8,7.8,0,1.7,0.1,0,0,0.2,0.2,4.1,0,7.1,0,0.9,164.3
서울,노원구,처리방법,매립,11,11,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,노원구,처리방법,소각,105.2,105.2,105.2,0,28,9,1.1,1.1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,노원구,처리방법,재활용,228.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,26.8,10.5,3.3,1.8,7.8,0,1.7,0.1,0,0,0.2,0.2,4.1,0,7.1,0,0.9,164.3
서울,은평구,발생량,발생량,291.3,141.4,141.4,0,16,15.3,6.9,4.1,99.1,0,0,0,0,0,0,64.9,10,6.4,4.3,12,6.3,0,0.3,0,0,0,0.1,12.8,2.5,0,9,0.8,0.4,85
서울,은평구,처리방법,매립,96.9,96.9,96.9,0,9.1,2.8,4.7,2.1,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,은평구,처리방법,소각,44.5,44.5,44.5,0,6.9,12.5,2.2,2,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
