시도,폐기물 종류,,,2020발생량,총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,,,,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타
부산,혼합배출,가연성,기타,3318.7,3318.7,0,0,0,3318.7,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,소계,31247.5,1142.2,16938.9,13166.4,0,1142.2,16938.9,13166.4,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐금속류,10421.9,680.5,9316.5,424.9,0,680.5,9316.5,424.9,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐유리류,8238.5,461.7,7622.4,154.4,0,461.7,7622.4,154.4,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐토사류,309,0,0,309,0,0,0,309,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐타일 및 도자기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,연탄재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,기타,12278.1,0,0,12278.1,0,0,0,12278.1,0,0,0,0,0,0,0,0,0
부산,혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,기타(배출불명등),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,소계,,571235.6,530180,41055.6,0,0,113319.4,4143.2,0,0,0,0,0,0,416860.6,36912.4,0,0
부산,재활용 가능자원 분리배출,폐지류,종이팩,193,193,0,0,0,179.4,0,0,0,0,0,0,0,13.6,0,0,0
부산,재활용 가능자원 분리배출,폐지류,기타,253673.8,253673.8,0,0,0,17555.9,0,0,0,0,0,0,0,236117.9,0,0,0
부산,재활용 가능자원 분리배출,고철류,,39731.6,39731.6,0,0,0,908.4,0,0,0,0,0,0,0,38823.2,0,0,0
부산,재활용 가능자원 분리배출,금속캔,,34727.2,34727.2,0,0,0,2281.1,0,0,0,0,0,0,0,32446.1,0,0,0
부산,재활용 가능자원 분리배출,폐합성수지류,비닐류,61042.9,61042.9,0,0,0,20175.8,0,0,0,0,0,0,0,40867.1,0,0,0
부산,재활용 가능자원 분리배출,폐합성수지류,발포수지류,7588.3,7588.3,0,0,0,2572.6,0,0,0,0,0,0,0,5015.7,0,0,0
부산,재활용 가능자원 분리배출,폐합성수지류,PET병,5408.1,5408.1,0,0,0,5210.1,0,0,0,0,0,0,0,198,0,0,0
부산,재활용 가능자원 분리배출,폐합성수지류,기타,80772.4,80772.4,0,0,0,33999.2,0,0,0,0,0,0,0,46773.2,0,0,0
부산,재활용 가능자원 분리배출,폐고무류,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,폐유리병류,,21096.4,21096.4,0,0,0,19616.1,0,0,0,0,0,0,0,1480.3,0,0,0
부산,재활용 가능자원 분리배출,폐의류,,9854.5,9854.5,0,0,0,32.4,0,0,0,0,0,0,0,9822.1,0,0,0
부산,재활용 가능자원 분리배출,폐섬유류,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,조명폐기물,,396.6,396.6,0,0,0,373.4,0,0,0,0,0,0,0,23.2,0,0,0
부산,재활용 가능자원 분리배출,폐전지류,,249.5,249.5,0,0,0,230.5,0,0,0,0,0,0,0,19,0,0,0
부산,재활용 가능자원 분리배출,영농폐기물,농약용기류,5.2,5.2,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,영농폐기물,폐비닐,234.2,234.2,0,0,0,234.2,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,폐식용유,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,폐전기전자제품,,10953.2,10953.2,0,0,0,9936.1,0,0,0,0,0,0,0,1017.1,0,0,0
부산,재활용 가능자원 분리배출,폐가구류,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,재활용 가능자원 분리배출,기타,,4253.1,4253.1,0,0,0,9,0,0,0,0,0,0,0,4244.1,0,0,0
부산,재활용 가능자원 분리배출,재활용 잔재물,,41055.6,0,41055.6,0,0,0,4143.2,0,0,0,0,0,0,0,36912.4,0,0
부산,음식물류 폐기물 분리배출,,,242014.3,242014.3,0,0,0,64610.5,0,0,0,412.6,0,0,0,176991.2,0,0,0
대구,합계,,,938049.8,620537.1,90841.7,226671,0,329050.5,89787.4,220971.3,0,227.1,0,0,0,291259.5,1054.3,5699.7,0
대구,혼합배출,소계,,442825.6,138763.7,84199.5,219862.4,0,138763.7,84199.5,219862.4,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,소계,336358.4,130411.9,78236.8,127709.7,0,130411.9,78236.8,127709.7,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,폐지류,78412.2,25536.6,18537.1,34338.5,0,25536.6,18537.1,34338.5,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,폐합성수지류,70208.7,22889.4,16563.5,30755.8,0,22889.4,16563.5,30755.8,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,폐고무류,2448.8,807.4,619.1,1022.3,0,807.4,619.1,1022.3,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,폐섬유류,14466.5,4793.2,3208.5,6464.8,0,4793.2,3208.5,6464.8,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,음식물류 폐기물,20727.4,6867.7,4597.1,9262.6,0,6867.7,4597.1,9262.6,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,폐목재류,6314.2,2071,1470.1,2773.1,0,2071,1470.1,2773.1,0,0,0,0,0,0,0,0,0
대구,혼합배출,가연성,기타,143780.6,67446.6,33241.4,43092.6,0,67446.6,33241.4,43092.6,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,소계,25426.5,8351.8,5849.4,11225.3,0,8351.8,5849.4,11225.3,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,폐금속류,5643.9,1809.5,1314.1,2520.3,0,1809.5,1314.1,2520.3,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,폐유리류,8034.7,2645.3,1846.9,3542.5,0,2645.3,1846.9,3542.5,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,폐토사류,1119.8,384.2,262.6,473,0,384.2,262.6,473,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,폐타일 및 도자기류,606.4,200.9,134.5,271,0,200.9,134.5,271,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,연탄재,30.5,10,6.8,13.7,0,10,6.8,13.7,0,0,0,0,0,0,0,0,0
대구,혼합배출,불연성,기타,9991.2,3301.9,2284.5,4404.8,0,3301.9,2284.5,4404.8,0,0,0,0,0,0,0,0,0
대구,혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),81040.7,0,113.3,80927.4,0,0,113.3,80927.4,0,0,0,0,0,0,0,0,0
대구,혼합배출,기타(배출불명등),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,재활용 가능자원 분리배출,소계,,275334.8,261884,6642.2,6808.6,0,60609.5,5587.9,1108.9,0,0,0,0,0,201274.5,1054.3,5699.7,0
대구,재활용 가능자원 분리배출,폐지류,종이팩,8100,8100,0,0,0,98.2,0,0,0,0,0,0,0,8001.8,0,0,0
대구,재활용 가능자원 분리배출,폐지류,기타,58553.8,58553.8,0,0,0,642.4,0,0,0,0,0,0,0,57911.4,0,0,0
대구,재활용 가능자원 분리배출,고철류,,19087.1,19087.1,0,0,0,271.8,0,0,0,0,0,0,0,18815.3,0,0,0
대구,재활용 가능자원 분리배출,금속캔,,11163.4,11163.4,0,0,0,614.3,0,0,0,0,0,0,0,10549.1,0,0,0
대구,재활용 가능자원 분리배출,폐합성수지류,비닐류,22461.1,22461.1,0,0,0,11167.9,0,0,0,0,0,0,0,11293.2,0,0,0
대구,재활용 가능자원 분리배출,폐합성수지류,발포수지류,3321.4,3321.4,0,0,0,1013.4,0,0,0,0,0,0,0,2308,0,0,0
대구,재활용 가능자원 분리배출,폐합성수지류,PET병,20979.6,20979.6,0,0,0,7790.6,0,0,0,0,0,0,0,13189,0,0,0
대구,재활용 가능자원 분리배출,폐합성수지류,기타,15824.6,15824.6,0,0,0,2817.3,0,0,0,0,0,0,0,13007.3,0,0,0
대구,재활용 가능자원 분리배출,폐고무류,,3.8,3.8,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0
대구,재활용 가능자원 분리배출,폐유리병류,,29065.6,29065.6,0,0,0,10709.4,0,0,0,0,0,0,0,18356.2,0,0,0
